id,title,category,word_count,rating,reading_minutes,keywords,keyword_source,quality_status,quality_issues,pdf_path,markdown_path,source_url
"deployment-stamps-pattern","Deployment Stamps Pattern","cloud-architecture","2897","9","15","stamp; stamps; tenants; traffic; deploy; routing","markdown + metadata","not_reviewed","","articles/deployment-stamps-pattern/source.pdf","articles/deployment-stamps-pattern/article.md","https://learn.microsoft.com/en-us/azure/architecture/patterns/deployment-stamp"
"cloud-native-platforms-build","Cloud Native Platforms: Build","cloud-architecture","2971","10","15","idempotencykey; requesthash; disciplines; idempotency; discipline; education","markdown + metadata","not_reviewed","","articles/cloud-native-platforms-build/source.pdf","articles/cloud-native-platforms-build/article.md","https://techcommunity.microsoft.com/blog/azurearchitectureblog/cloud-native-platforms-build/4519605"
"road-to-composable-data-systems","The Road to Composable Data Systems","interoperability","3142","10","16","pandas; road; composable; frame; interoperability; arrow","markdown + metadata","not_reviewed","","articles/road-to-composable-data-systems/source.pdf","articles/road-to-composable-data-systems/article.md","https://wesmckinney.com/blog/looking-back-15-years/"
"making-retries-safe-with-idempotent-apis","Making Retries Safe with Idempotent APIs","distributed-systems","3352","10","17","retries; idempotent; identifier; clienttoken; builders; cabdc","markdown + metadata","not_reviewed","","articles/making-retries-safe-with-idempotent-apis/source.pdf","articles/making-retries-safe-with-idempotent-apis/article.md","https://aws.amazon.com/builders-library/making-retries-safe-with-idempotent-APIs/"
"design-unity-catalog-architecture","Design Unity Catalog Architecture","data-governance","3502","10","18","metastore; hub; prod; unity; dev; units","markdown + metadata","not_reviewed","","articles/design-unity-catalog-architecture/source.pdf","articles/design-unity-catalog-architecture/article.md","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/deployment-guide/unity-catalog"
"big-data-is-dead","Big Data is Dead","data-architecture","4170","","21","accepting; dead; big; sizes; giant; bigquery","markdown + metadata","not_reviewed","","articles/big-data-is-dead/source.pdf","articles/big-data-is-dead/article.md","https://motherduck.com/blog/big-data-is-dead/"
"beyond-indexes-open-table-formats","Beyond Indexes: How Open Table Formats Optimize Query Performance","data-governance","5597","8","28","indexes; clustered; index; country; pruning; b-tree","markdown + metadata","not_reviewed","","articles/beyond-indexes-open-table-formats/source.pdf","articles/beyond-indexes-open-table-formats/article.md","https://jack-vanlightly.com/blog/2025/10/8/beyond-indexes-how-open-table-formats-optimize-query-performance"
"immutability-changes-everything","Immutability Changes Everything","foundations","5675","9","29","immutability; acmqueue; september-october; immutable; cow; lsm","markdown + metadata","not_reviewed","","articles/immutability-changes-everything/source.pdf","articles/immutability-changes-everything/article.md","https://queue.acm.org/detail.cfm?id=2884038"
"composable-data-management-system-manifesto","The Composable Data Management System Manifesto","interoperability","6871","9.5","35","velox; irs; meta; unification; execution; composability","markdown + metadata","not_reviewed","","articles/composable-data-management-system-manifesto/source.pdf","articles/composable-data-management-system-manifesto/article.md","https://www.vldb.org/pvldb/vol16/p2679-pedreira.pdf"
"making-data-ready-for-agentic-ai","Making Your Data Ready for Agentic AI","data-governance","10224","","52","agentic; agent; autonomy; contract; freshness; write-back","markdown + metadata","not_reviewed","","articles/making-data-ready-for-agentic-ai/source.pdf","articles/making-data-ready-for-agentic-ai/article.md","https://martinfowler.com/articles/making-data-ready-for-agentic-ai.html"
"architecture-best-practices-for-azure-databricks","Architecture Best Practices for Azure Databricks","azure-databricks","11373","9.5","57","azure; workspace; configurations; workspaces; cluster; eliminates","markdown + metadata","not_reviewed","","articles/architecture-best-practices-for-azure-databricks/source.pdf","articles/architecture-best-practices-for-azure-databricks/article.md","https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-databricks"
"the-log","The Log: What Every Software Engineer Should Know About Real-Time Data's Unifying Abstraction","foundations","13095","9","66","log; real-time; unifying; stream; linkedin; paxos","markdown + metadata","not_reviewed","","articles/the-log/source.pdf","articles/the-log/article.md","https://engineering.linkedin.com/distributed-systems/log-what-every-software-engineer-should-know-about-real-time-datas-unifying"
"delta-lake-acid-table-storage","Delta Lake: High-Performance ACID Table Storage over Cloud Object Stores","data-governance","14632","","74","objects; delta; object; checkpoint; lake; log","markdown + metadata","not_reviewed","","articles/delta-lake-acid-table-storage/source.pdf","articles/delta-lake-acid-table-storage/article.md","https://dl.acm.org/doi/abs/10.14778/3415478.3415560"
"out-of-the-tar-pit","Out of the Tar Pit","foundations","22778","","114","frp; relation; erent; relvars; functional; accidental","markdown + metadata","not_reviewed","","articles/out-of-the-tar-pit/source.pdf","articles/out-of-the-tar-pit/article.md","https://curtclifton.net/papers/MoseleyMarks06a.pdf"
"apache-iceberg-definitive-guide","Apache Iceberg: The Definitive Guide","data-governance","","","","definitive; iceberg; guide; apache; governance; travel","metadata only","needs_review","missing_source; missing_markdown","","",""
"building-effective-agents","Building Effective Agents","ai-engineering","","","","agents; effective; building; anthropic; autonomous; engineering","metadata only","needs_review","missing_source; missing_markdown","","","https://www.anthropic.com/engineering/building-effective-agents"
"cloud-native-platforms-evolve","Cloud Native Platforms: Evolve","cloud-architecture","","6","","evolve; native; platforms; cloud; augmenting; architecture","metadata only","needs_review","missing_source; missing_markdown","","","https://techcommunity.microsoft.com/blog/azurearchitectureblog/cloud-native-platforms-evolve/4520195"
"cloud-native-platforms-run","Cloud Native Platforms: Run","cloud-architecture","","6","","native; platforms; cloud; run; disciplines; architecture","metadata only","needs_review","missing_source; missing_markdown","","","https://techcommunity.microsoft.com/blog/azurearchitectureblog/cloud-native-platforms-run/4520188"
"data-mesh","Data Mesh","data-architecture","","7","","mesh; dehghani; domain-oriented; self-serve; zhamak; federated","metadata only","needs_review","missing_source; missing_markdown","","",""
"databricks-lakeguard-sigmod-2025","Databricks Lakeguard: Supporting Fine-Grained Access Control and Multi-User Capabilities for Apache Spark Workloads","data-governance","","7","","lakeguard; multi-user; fine-grained; spark; supporting; apache","metadata only","needs_review","missing_source; missing_markdown","","","https://dl.acm.org/doi/10.1145/3722212.3724433"
"designing-data-intensive-applications","Designing Data-Intensive Applications","foundations","","8","","data-intensive; foundations; designing; applications; kleppmann; replication","metadata only","needs_review","missing_source; missing_markdown","","",""
"designing-data-products","Designing Data Products","data-architecture","","","","designing; products; kiran; prakash; slos; architecture","metadata only","needs_review","missing_source; missing_markdown","","","https://martinfowler.com/articles/designing-data-products.html"
"dont-get-locked-up-into-avoiding-lock-in","Don't get locked up into avoiding lock-in","cloud-architecture","","","","lock-in; locked; avoiding; don; cloud; portability","metadata only","needs_review","missing_source; missing_markdown","","","https://martinfowler.com/articles/oss-lockin.html"
"evolutionary-database-design","Evolutionary Database Design","data-architecture","","","","evolutionary; database; design; migrations; pramod; sadalage","metadata only","needs_review","missing_source; missing_markdown","","","https://martinfowler.com/articles/evodb.html"
"governing-data-products-using-fitness-functions","Governing Data Products Using Fitness Functions","data-governance","","","","fitness; governing; functions; products; governance; kiran","metadata only","needs_review","missing_source; missing_markdown","","","https://martinfowler.com/articles/fitness-functions-data-products.html"
"ironies-of-automation","Ironies of Automation","foundations","","","","ironies; automation; foundations; ai-agent; automatica; bainbridge","metadata only","needs_review","missing_source; missing_markdown","","","https://tc.ifac-control.org/4/1/newsletter/ironies-of-automation/@@download/file/Bainbridge1983_Automatica_Ironies%20of%20automation.pdf"
"laws-of-frugal-architecture","The Laws of Frugal Architecture","cloud-architecture","","","","frugal; laws; architecture; cost-aware; measurement; cloud","metadata only","needs_review","missing_source; missing_markdown","","","https://thefrugalarchitect.com/laws/"
"life-beyond-distributed-transactions","Life Beyond Distributed Transactions: An Apostate's Opinion","distributed-systems","","","","apostate; transactions; opinion; life; distributed; beyond","metadata only","needs_review","missing_source; missing_markdown","","","https://www.cidrdb.org/cidr2007/papers/cidr07p15.pdf"
"mapreduce-simplified-data-processing","MapReduce: Simplified Data Processing on Large Clusters","foundations","","","","simplified; mapreduce; clusters; foundations; processing; osdi","metadata only","needs_review","missing_source; missing_markdown","","","https://static.googleusercontent.com/media/research.google.com/en//archive/mapreduce-osdi04.pdf"
"naive-reuse-considered-harmful","(Naive) Reuse Considered Harmful?","platform-engineering","","","","harmful; naive; reuse; considered; platform; banking","metadata only","needs_review","missing_source; missing_markdown","","","https://architectelevator.com/architecture/reuse-harmful/"
"site-reliability-engineering","Site Reliability Engineering","cloud-architecture","","","","site; reliability; slis; toil; cloud; slos","metadata only","needs_review","missing_source; missing_markdown","","",""
"static-stability-using-availability-zones","Static Stability Using Availability Zones","cloud-architecture","","","","stability; zones; static; planes; availability; becky","metadata only","needs_review","missing_source; missing_markdown","","","https://aws.amazon.com/builders-library/static-stability-using-availability-zones/"
"the-architect-elevator","The Architect Elevator","cloud-architecture","","","","elevator; architect; executive; translator; cloud; gregor","metadata only","needs_review","missing_source; missing_markdown","","",""
"the-problem-was-the-product","The problem was the product","data-architecture","","","","problem; arguing; benn; coherent; end-user; essay","metadata only","needs_review","missing_source; missing_markdown","","","https://benn.substack.com/p/the-problem-was-the-product"
"the-quest-for-semantic-architecture","The Quest for Semantic Architecture","data-architecture","","","","quest; semantic; plane; architecture; conceptual; juha","metadata only","needs_review","missing_source; missing_markdown","","","https://commonsensedata.substack.com/p/the-quest-for-semantic-architecture"
"unity-catalog-open-universal-governance","Unity Catalog: Open and Universal Governance for the Lakehouse and Beyond","data-governance","","","","universal; governance; unity; beyond; lakehouse; catalog","metadata only","needs_review","missing_source; missing_markdown","","","https://dl.acm.org/doi/abs/10.1145/3722212.3724459"
"what-do-you-mean-by-event-driven","What Do You Mean by Event-Driven?","distributed-systems","","","","event-driven; mean; event; distributed; cqrs; distinguishing","metadata only","needs_review","missing_source; missing_markdown","","","https://martinfowler.com/articles/201701-event-driven.html"
"what-i-talk-about-when-i-talk-about-platforms","What I Talk About When I Talk About Platforms","platform-engineering","","","","talk; platforms; platform; bottcher; evan; self-service","metadata only","needs_review","missing_source; missing_markdown","","","https://martinfowler.com/articles/talk-about-platforms.html"
"your-ai-product-needs-evals","Your AI Product Needs Evals","ai-engineering","","","","evals; evaluation; hamel; husain; product; needs","metadata only","needs_review","missing_source; missing_markdown","","","https://hamel.dev/blog/posts/evals/"
